-12,144,1,5070
-13,169,0,73347
-7,49,1,118461
-8,64,1,111209
-7,49,0,216914
-6,36,0,150782
-5,25,1,45748
-7,49,0,94886
-13,169,0,-132365
-5,25,0,80484
-12,144,0,109044
-6,36,1,-77653
-6,36,0,94761
-14,196,0,191076
-5,25,1,-88789
-8,64,0,-5331
-6,36,0,85402
-6,36,1,9889
-13,169,0,125147
-9,81,1,-73935
-13,169,1,-73708
-11,121,0,118324
-13,169,0,152559
-7,49,0,196496
-5,25,1,37888
-9,81,1,-99272
-13,169,0,268144
-14,196,1,-159938
-8,64,0,86565
-7,49,1,-66774
-10,100,1,40373
-13,169,1,-29609
-12,144,1,-137733
-8,64,1,-13054
-9,81,1,-187323
-2,4,1,-134915
2,4,0,-60913
2,4,0,144035
4,16,1,-127409
4,16,0,50971
4,16,1,-53585
3,9,0,98987
2,4,0,274828
-1,1,1,-185018
5,25,0,-253384
-4,16,1,-59715
2,4,0,22811
4,16,0,177947
2,4,0,161506
-1,1,1,-188399
2,4,1,7650
3,9,1,-76348
1,1,0,318397
-3,9,1,-204135
5,25,1,-80898
5,25,1,-146735
-2,4,1,-50255
1,1,1,-90960
-5,25,0,99090
4,16,0,38629
3,9,0,144668
-1,1,0,164882
1,1,0,157583
1,1,1,-107431
-4,16,1,-245686
-2,4,0,20702
-1,1,0,213943
-5,25,1,-62522
-1,1,0,10442
3,9,0,57562
3,9,0,22448
0,0,1,-109507
3,9,1,169381
-1,1,0,275442
5,25,0,-155152
-1,1,1,-128504
-2,4,1,-232
-4,16,1,-29777
3,9,1,31081
-1,1,1,74862
-2,4,0,227050
0,0,1,-127963
2,4,0,-68372
-1,1,0,-115422
1,1,1,3305
9,81,0,-37523
5,25,0,164827
11,121,1,-202285
13,169,1,169188
13,169,0,132367
14,196,0,122821
13,169,0,115706
7,49,0,80155
7,49,0,64612
9,81,0,35622
7,49,0,192289
7,49,1,-64204
7,49,1,-276410
13,169,1,52217
11,121,1,-134049
11,121,0,209941
10,100,1,-121261
9,81,1,-242284
12,144,1,-71674
14,196,0,-14614
15,225,0,-21855
11,121,1,-122857
8,64,1,-354658
12,144,1,-145939
9,81,0,133409
12,144,0,149444
7,49,1,-34097
10,100,1,-15564
13,169,0,-26954
9,81,0,-90023
8,64,0,-89063
6,36,0,-237215
6,36,0,-83631
9,81,0,-12317
8,64,1,49412
11,121,1,-72435
7,49,1,166965
14,196,0,-237367
5,25,0,159888
8,64,1,30249
7,49,0,201697
12,144,1,-229074
9,81,1,23374
13,169,0,177729
14,196,1,-125536
12,144,1,-31562
8,64,1,-50109
6,36,0,49365
14,196,1,-330645
13,169,1,-132948
15,225,1,-212371
15,225,0,36942
17,289,0,-181780
19,361,0,-11014
19,361,0,-19475
18,324,1,-143108
24,576,0,668
20,400,0,14664
23,529,1,-239640
16,256,1,-110139
16,256,1,-46749
15,225,0,-98857
23,529,1,11596
19,361,0,24068
22,484,0,247161
24,576,1,-13937
23,529,1,-240779
16,256,0,112051
19,361,1,-86077
18,324,1,-320444
17,289,0,148303
22,484,1,-163267
20,400,1,-115131
17,289,0,-83030
24,576,1,-143182
23,529,0,-21500
18,324,1,-204327
19,361,1,-265484
16,256,1,-279292
17,289,1,-126797
18,324,0,126304
17,289,1,-49730
21,441,1,-73804
17,289,1,-198437
18,324,1,-213610
18,324,1,-180817
20,400,0,252477
18,324,1,10893
15,225,0,92995
22,484,0,117652
20,400,0,18195
19,361,1,-236517
15,225,1,-314773
24,576,0,-125447
15,225,0,386148
23,529,0,80464
16,256,0,-49840
16,256,0,-73631
18,324,0,-6995
16,256,0,-77657
25,625,1,-82698
30,900,0,-28817
26,676,0,104125
28,784,0,447234
30,900,1,-83015
30,900,0,82705
29,841,1,-112825
26,676,1,-70921
30,900,0,12180
30,900,0,70776
32,1024,1,-274437
29,841,1,-162582
26,676,0,-9927
35,1225,1,-122460
27,729,0,-163163
27,729,0,-138172
32,1024,0,108891
34,1156,0,164590
29,841,1,-190058
29,841,0,-76426
27,729,0,-61804
26,676,0,6787
25,625,0,93787
27,729,1,-212328
30,900,1,-2889
33,1089,1,-99179
29,841,0,130552
27,729,1,-163224
26,676,0,214304
31,961,1,-39633
28,784,1,-144460
28,784,0,-104083
26,676,1,-86922
28,784,0,137749
26,676,1,-308380
34,1156,1,-192857
27,729,1,-31429
26,676,0,310847
33,1089,0,-39468
27,729,0,75723
26,676,1,-165089
31,961,0,-60591
29,841,0,78167
26,676,1,-263477
34,1156,1,-103448
26,676,1,23747
27,729,1,-112101
27,729,1,102895
26,676,0,36444
26,676,1,-52012
